REPO_NAME,TOTAL_LOC,CATEGORY,TOTAL_EVENT_COUNT,EVENT_DENSITY
repo1,4,DATA_LOAD_COUNT,1,250.0
repo1,4,MODEL_LOAD_COUNT,1,250.0
repo1,4,DATA_DOWNLOAD_COUNT,0,0.0
repo1,4,MODEL_LABEL_COUNT,0,0.0
repo1,4,MODEL_OUTPUT_COUNT,1,250.0
repo1,4,DATA_PIPELINE_COUNT,1,250.0
repo1,4,ENVIRONMENT_COUNT,0,0.0
repo1,4,STATE_OBSERVE_COUNT,0,0.0
repo1,4,TOTAL_EVENT_COUNT,4,1000.0
repo2,2,DATA_LOAD_COUNT,2,1000.0
repo2,2,MODEL_LOAD_COUNT,0,0.0
repo2,2,DATA_DOWNLOAD_COUNT,1,500.0
repo2,2,MODEL_LABEL_COUNT,0,0.0
repo2,2,MODEL_OUTPUT_COUNT,0,0.0
repo2,2,DATA_PIPELINE_COUNT,0,0.0
repo2,2,ENVIRONMENT_COUNT,1,500.0
repo2,2,STATE_OBSERVE_COUNT,0,0.0
repo2,2,TOTAL_EVENT_COUNT,4,2000.0
